"Rule","Label"
"118","ALLOW: access DOCKER SWARM"
"119","ALLOW: access DOCKER SWARM"
"120","ALLOW: access DOCKER SWARM"
"121","ALLOW: access DOCKER SWARM"
"122","ALLOW: access DOCKER SWARM"
"123","ALLOW: access DOCKER SWARM"
"124","ALLOW: access DOCKER SWARM"
"125","ALLOW: access SIEM"
"126","ALLOW: access SIEM"
"127","BLOCK: DNS (outside)"
"128","BLOCK: DNS (outside)"
"129","BLOCK: DNS (outside)"
"130","BLOCK: DNS (outside)"
"131","BLOCK: DNS (outside)"
"132","BLOCK: DNS (outside)"
"133","ALLOW: DNS (intern)(N)"
"134","ALLOW: DNS (intern)(N)"
"135","ALLOW: internet-NordVPN [vlan group]"
"136","ALLOW: internet [vlan group]"
"137","BLOCK: DNS (outside)"
"138","BLOCK: DNS (outside)"
"139","BLOCK: DNS (outside)"
"140","BLOCK: DNS (outside)"
"141","BLOCK: DNS (outside)"
"142","BLOCK: DNS (outside)"
"143","ALLOW: 1. Native to DNS internal for main devices"
"144","ALLOW: 1. Native to DNS internal for main devices"
"145","ALLOW: 1. Native to internet for main devices"
"146","ALLOW: 1. Native to DNS internal for unif controller"
"147","ALLOW: 1. Native to DNS internal for unif controller"
"148","ALLOW: 1. Native to internet for unif controller"
"149","ALLOW: 5. Main to DNS internal for siem device"
"150","ALLOW: 5. Main to DNS internal for siem device"
"151","ALLOW: 5. Main to internet for siem device"
"152","ALLOW: 10. Admin (all internal)"
"153","ALLOW: 40. Clients access IoT"
"154","ALLOW: 40. Clients access IoT"
"155","BLOCK: 111. IoT request SSDP"
"156","BLOCK: 111. IoT request SSDP"
"157","ALLOW: 111. IoT request ICMP to net"
"158","ALLOW: 180. Guest (internet)"
"159","BLOCK: 180. Guest to internal"
"160","BLOCK: 180. Guest access firewall"
"161","test printer"

"0022c8b7667763e5f1b46df15c76c09c","Block private networks from 50Cam"
"02df5c61047ce7ae627bd53dd5dab641","allow access to DHCP server"
"02f4bab031b57d1e30553ce08e0ec131","Default deny rule"
"033633dc5b7d01a4ed8a7ee32de9e4f6","allow access to DHCP server"
"043adc726b3fb85b0991f5ddae8fd06a","Block bogon IPv6 networks from iNordVPN"
"0795900de7e4f3c9bf5bea08347e0e40","Block bogon IPv6 networks from VLAN_Networks_S"
"07daf606e4baa82915478774a40f014d","allow access to DHCP server"
"09ef23f01c5890e379d587e8e2d3dea0","allow access to DHCP server"
"0a969786f66c3ac61a62c285b4424d22","ALLOW: 1. Native to DNS internal for unif controller"
"0b032d1bab91fc97e4a7faf03a7f17c3","allow access to DHCP server"
"0b31014d8161536a928ce8345bc3fe3f","Block private networks from 180Guest"
"0c8a2f76a6bf525b6db290a7b5d9452b","allow access to DHCP server"
"0ca82483dbba05ab40527e7d546f6fb6","ALLOW: access SIEM"
"0f22786bb6774c728c011c8c58bca6a2","Block bogon IPv4 networks from iNordVPN"
"0f4bbe6e3d7092c1ac1d2659616e86f9","Block bogon IPv4 networks from 51Cam"
"0fe01e65ee63392ccfebb9490aac5248","Block bogon IPv6 networks from 111IoT"
"102fc1c757023ef7f945d512ed212862","allow access to DHCP server"
"10f00686c52814e8fceeb1f565d5fef7","allow access to DHCP server"
"132c08715d35f1fff0a166546ab1c40a","Block private networks from 50Cam"
"137fdd0860bc516c6e43f2f045572d04","allow access to DHCP server"
"14dde492ca55ec468310c537f693dc8f","Block bogon IPv6 networks from 1Native"
"16d293283e136afdc4daf891cc3af02f","allow access to DHCP server"
"18955eeea5051f60c2c3127a0ed21b05","Block bogon IPv4 networks from VLAN_Networks_S"
"18d2197f62c02e2805760125772e8084","allow access to DHCP server"
"1977e380f2e51ca0932b7c04973bb10e","Block bogon IPv4 networks from 180Guest"
"1a83b967461840fa3574da3a73300323","Block bogon IPv4 networks from 40Client"
"1abb3c3b8584670c042452464f78d963","Block bogon IPv6 networks from WAN"
"1d245529367b2e34eeaff16086aeafe9","IPv6 RFC4890 requirements (ICMP)"
"1e13125d68d267924569eadb69fa1ad1","allow access to DHCP server"
"1eb94a38e58994641aff378c21d5984f","Block private networks from WAN"
"1ecefed1485c0cf1674caeff2c48fc19","Block bogon IPv6 networks from VLAN_Internal_D"
"1f9ac7ce77f53ade630e86b77f6dd7b9","Block private networks from VLAN_Networks_S"
"2229da82275df08cab45a745721e83ff","Block private networks from 40Client"
"22e66ed39b78bf4f8eab5ebadf69d152","Block bogon IPv4 networks from 5Main"
"23d175530901d368253b440436d768b6","ALLOW: 40. Client to connect with FritzBox SIP"
"23ed399168de06ca08a644e354da2625","allow access to DHCP server"
"27cd8f64c4465679bd478bd7aec8646a","Block bogon IPv4 networks from OpenVPN"
"28a30e8c6438df0179837690110d4118","let out anything from firewall host itself (force gw)"
"306de368b07e5782660745341cd22731","CARP defaults"
"35b228e74fb3ebf6af7d9b2523979d10","Block bogon IPv4 networks from VLAN_Networks"
"3a62f957b23c1557a6c5f1dd190054fb","ALLOW: 1. Native to internet for unif controller"
"3b3c9f3aec871c277a8223967d69de8b","Block bogon IPv6 networks from 10Admin"
"3f98e393536eccd150978a13dfac1ddc","allow access to DHCP server"
"4120869b63ab77fc66406403f3b23276","Block bogon IPv4 networks from 111IoT"
"42e9d787749713a849d8e92432efdfaa","IPv6 RFC4890 requirements (ICMP)"
"4409c5a643c81fafa773427e1967df08","allow access to DHCP server"
"44a000bff98c748989039a73cd85d499","Block bogon IPv4 networks from 10Admin"
"45afd72424c84d011c07957569151480","Block private networks from WAN"
"46d428e7aeffdad8b1479c06985d381d","Block bogon IPv6 networks from 51Cam"
"471354383e4ac8a57bb003470ad0b009","ALLOW: 180. Guest (internet)"
"4b77fdc0917c5a9d1271a2b580e95e27","allow access to DHCP server"
"4d95e0fbab26f616dedb0dda7c7581c3","allow access to DHCP server"
"4e4baecbca216fd430bba738f850b813","ALLOW: any to firewall(DNS)"
"4eb553ee95bcbf5299054b24b13f5528","allow access to DHCP server"
"4f1974f789b40f9a9605ad3e0936c2ea","Block bogon IPv6 networks from VLAN_Cams"
"4fc1a9feed18899f550dffe2f0b7d32b","ALLOW: 250. Dev all out [DEBUG]"
"5039e43005a9aa50eb032af274cc9aad","allow access to DHCP server"
"509540f44cde74df1d28e2bc76b0a691","Block bogon IPv6 networks from Loopback"
"5168be2cca1e130b1ef2ac18161356a8","allow access to DHCP server"
"57bd322c436494ea3b28becbe6e12092","Block bogon IPv4 networks from VLAN_Cams"
"57cc783d04a6c5739bb406097d700e8f","ALLOW: internet-NordVPN [vlan group]"
"58c3ae4c102f2ba022f6be15594cee45","Block private networks from VLAN_Cams"
"59eaa3b97b11c51ddfce6afe4f71eeb8","Block private networks from 1Native"
"5abb7d88958c4e6df293f4bdf4663c7b","allow access to DHCP server"
"5b9a139f0c4bf75c66b9813b65c42060","Block bogon IPv6 networks from 250Dev"
"6127d2b71d398d6ec6b47b452f2c5f6c","Block private networks from 5Main"
"63c36598e9a4c311d358d02cbcf31cea","ALLOW: 1. Native to DNS internal for main devices"
"6535985f9b71fbf131e835573f0fbd39","allow access to DHCP server"
"665c1956a6710524f6ed96b27b8144f5","Block private networks from 5Main"
"669143f420c3ab4118bcb0bf4b5fd823","sshlockout"
"68f14fb38037bd2f1e09fe9f88e7e881","BLOCK: DNS (outside)"
"6a1b538fffbaeed294c315ec3d1c0af4","Block bogon IPv6 networks from VLAN_Networks"
"6baefc2a9cf2536834c092a51134a45c","sshlockout"
"6d3268e7626223e76aed067acedf5aba","Block private networks from 51Cam"
"6e0be3dd430df5d0d6fcdab0f69fad73","Block private networks from 10Admin"
"70fcd47cc0b8782476fce1731eb7eb4c","Pass all loopback IPv6"
"71a4b56a0f2632560538c24dd89442cc","Block private networks from VLAN_Internal_D"
"71dd196398b3f1da265dbd9dcad00e70","IPv6 RFC4890 requirements (ICMP)"
"74b30b5ab8acc5b65dd21cbda0487166","Block private networks from VLAN_Cams"
"79670afa65bc796eb8b0e2e5dab08397","Block bogon IPv4 networks from VLAN_Internal_D"
"7b1fc09401141fd11d6f6fd692313554","Block private networks from iNordVPN"
"7b5bdc64d7ae74be1932f6764a591da5","block all targetting port 0"
"7e7142e3018b9acafef9c3f5172b6f26","test printer"
"7f1fcdd91c1ecf6e454f49ea8d376b2a","ALLOW: 111. IoT let smarthome access cams"
"83b0fd2a3b821ad15bc1b45bb3d8ad5b","BLOCK: DNS (outside)"
"8566846d7b3f797adc5cf34e48be3522","Block bogon IPv4 networks from 50Cam"
"8752fca75c6be992847ea984161bd3f1","IPv6 RFC4890 requirements (ICMP)"
"879e2b6c1b8565648ea9f0cdef43ff03","ALLOW: 5. Main to DNS internal for siem device"
"896628acf139598f97183dd8053e5364","BLOCK: Deebot"
"8e367e2f9944d93137ae56d788c5d5e1","virusprot overload table"
"91515c100a3692cb94121964974ce513","Block all IPv6"
"91b8c1a83111e17e6b7d955011b00bec","Block private networks from 111IoT"
"91e2443ae2e8caf012f9a6e5a8a455c8","pass loopback"
"940b9e0fc1b6a038a566dd8589dc00fd","Block private networks from VLAN_Networks"
"956093b230d9721bab9e0993ba3fabd8","ALLOW: 40. Clients access IoT"
"95ec2ef87e7dbe372963ba7936a959bc","Block private networks from VLAN_Networks"
"9b4b742b3ec944512a5a7b9d1dce7bb5","Block bogon IPv6 networks from 180Guest"
"9cd51908ba8b43e761027cad43ffddb3","ALLOW: 10. Admin (all internal)"
"9d59048c2ca76128e62ef15066bef954","Block private networks from Loopback"
"a1bc70072caa7cd5e1ce6cf9d1c61287","Block private networks from 40Client"
"a60c3f34eeab5d538dbae5c4d2739d2c","allow access to DHCP server"
"a6c06e72beb8572ed80dde76f82eb936","ALLOW: 5. Main to internet for siem device"
"abd2aa4001768db1d10fb20842787d0d","Block private networks from 111IoT"
"ac7fa4f8ddaf32c4281f6efee3f6ee61","ALLOW: 180. Guest to Unifi Controller Guest Portal"
"acdbb900b50d8fb4ae21ddfdc609ecf8","IPv6 RFC4890 requirements (ICMP)"
"ace7acc1be88f3baee3b75f64fca8a6f","CARP defaults"
"ae531727467b382d4664a3cd578e4d30","ALLOW: 111. IoT request ICMP to net"
"ae69f581dc429e3484a65f8ecd63baa5","block all targetting port 0"
"aec569b026bf42fdff61dba0bddc68e7","BLOCK: any to firewall"
"afe128e01c07e3fed356705c5f769375","Block private networks from 180Guest"
"b370ec9adb44ac88f9a5a42a8fd9d5a4","BLOCK: 180. Guest access firewall"
"b41015c9cba1b7ab9fa566f6ee78f58c","Block private networks from 1Native"
"b7cd97a164650b538506fb551a0369e7","Block bogon IPv4 networks from WAN"
"b90bae003622c13933d2b168d92ade15","Block bogon IPv6 networks from 40Client"
"b956bb305e924fbb396e5531586b012b","Block bogon IPv6 networks from 5Main"
"ba4630f62bda81be07a3cc08b95428a0","Block private networks from VLAN_Internal_D"
"bacd9a30c351afb4f9729b0df8c4d0c9","Block private networks from VLAN_Networks_S"
"bb72618316fdf630cdf15f33ae3d699f","anti-lockout rule"
"bc72645e7658bceefce89d9cfd4864d9","Block private networks from 51Cam"
"bf8a7b329d048c5183805d4f016fede9","Block bogon IPv4 networks from 1Native"
"c02a6f963cdbac61f6cfeb7eacc6a36e","Block private networks from 10Admin"
"c0d421255b497947d886f48078cbe505","Block private networks from 250Dev"
"c125102497bbb62b31cf5c980aa60235","ALLOW: 1. Native to internet for main devices"
"c3615c91fec4e91c5596a2d395813abc","Block private networks from 250Dev"
"c9ae4cf1c40ac1ef2507e12687a7f0a4","Block private networks from iNordVPN"
"ce57a6368d92108c7fe3efd5ab7eacab","ALLOW: DNS (intern)(N)"
"d0acc14b6054e272353f9b9147abb923","allow access to DHCP server"
"d4e0b6736697d8578d930ae4ebc77a81","BLOCK: 180. Guest to internal"
"d6ef6bbb636f55e2bf4b8cb8b2821770","allow access to DHCP server"
"d7a184385814e3ee66552f7d862ed84a","Block private networks from OpenVPN"
"dd152c0a22c94a6dcad517f09df6f7c7","ALLOW: 111. Iot for HomeAssistant to SIEM"
"e00f0065ec8db4888dc7b0d46c15dd4d","BLOCK: 111. IoT block smarthome from accessing internet"
"e0abd0daa005c9bd545c57004e7c1603","Block private networks from Loopback"
"e3545508bf47abc15542c82ccc800396","ALLOW: admin to firewall"
"e4471219900d822ece2a7a7691a395a2","allow access to DHCP server"
"e62999aed0dede04f378432b2c8b7fa7","Block bogon IPv6 networks from OpenVPN"
"e6b2c18ac7ad2285edba656c6dfd7145","ALLOW: access DOCKER SWARM"
"e82fe07001c1e2c3916575c986d6e466","allow access to DHCP server"
"e830e03cba3eda2f1fcd764e40d33f4e","Block private networks from OpenVPN"
"ea4c1d75c7d0d4ee589a59cc88870f11","Block bogon IPv4 networks from Loopback"
"ed6bdac902e4d3bea99f5bb0d04be5c0","BLOCK: 111. IoT request SSDP"
"f00de6dec0ab85718cf9d3b1f55e779b","Block bogon IPv4 networks from 250Dev"
"f050c18203e9f93059093a0487bb7c0d","Block bogon IPv6 networks from 50Cam"
"f6777d43269a3f3b74f28134c5d77ea1","let out anything from firewall host itself (force gw)"
"fa689dadb16f18bea536a62ffdbe639b","ALLOW: internet [vlan group]"
"fae559338f65e11c53669fc3642c93c2","let out anything from firewall host itself"



"02df5c61047ce7ae627bd53dd5dab641","98"
"02f4bab031b57d1e30553ce08e0ec131","25"
"02f4bab031b57d1e30553ce08e0ec131","26"
"033633dc5b7d01a4ed8a7ee32de9e4f6","96"
"07daf606e4baa82915478774a40f014d","86"
"09ef23f01c5890e379d587e8e2d3dea0","93"
"0a969786f66c3ac61a62c285b4424d22","146"
"0a969786f66c3ac61a62c285b4424d22","147"
"0b032d1bab91fc97e4a7faf03a7f17c3","84"
"0c8a2f76a6bf525b6db290a7b5d9452b","91"
"0ca82483dbba05ab40527e7d546f6fb6","125"
"0ca82483dbba05ab40527e7d546f6fb6","126"
"102fc1c757023ef7f945d512ed212862","92"
"10f00686c52814e8fceeb1f565d5fef7","100"
"137fdd0860bc516c6e43f2f045572d04","107"
"16d293283e136afdc4daf891cc3af02f","109"
"18d2197f62c02e2805760125772e8084","90"
"1d245529367b2e34eeaff16086aeafe9","27"
"1d245529367b2e34eeaff16086aeafe9","28"
"1d245529367b2e34eeaff16086aeafe9","29"
"1d245529367b2e34eeaff16086aeafe9","30"
"1e13125d68d267924569eadb69fa1ad1","87"
"1eb94a38e58994641aff378c21d5984f","77"
"1eb94a38e58994641aff378c21d5984f","78"
"1eb94a38e58994641aff378c21d5984f","79"
"1eb94a38e58994641aff378c21d5984f","80"
"1eb94a38e58994641aff378c21d5984f","81"
"23ed399168de06ca08a644e354da2625","106"
"28a30e8c6438df0179837690110d4118","115"
"306de368b07e5782660745341cd22731","71"
"3a62f957b23c1557a6c5f1dd190054fb","148"
"3f98e393536eccd150978a13dfac1ddc","103"
"42e9d787749713a849d8e92432efdfaa","43"
"42e9d787749713a849d8e92432efdfaa","44"
"42e9d787749713a849d8e92432efdfaa","45"
"42e9d787749713a849d8e92432efdfaa","46"
"42e9d787749713a849d8e92432efdfaa","47"
"42e9d787749713a849d8e92432efdfaa","48"
"42e9d787749713a849d8e92432efdfaa","49"
"42e9d787749713a849d8e92432efdfaa","50"
"42e9d787749713a849d8e92432efdfaa","51"
"42e9d787749713a849d8e92432efdfaa","52"
"4409c5a643c81fafa773427e1967df08","105"
"45afd72424c84d011c07957569151480","82"
"471354383e4ac8a57bb003470ad0b009","158"
"4b77fdc0917c5a9d1271a2b580e95e27","99"
"4d95e0fbab26f616dedb0dda7c7581c3","94"
"4eb553ee95bcbf5299054b24b13f5528","88"
"5039e43005a9aa50eb032af274cc9aad","85"
"5168be2cca1e130b1ef2ac18161356a8","83"
"57cc783d04a6c5739bb406097d700e8f","135"
"5abb7d88958c4e6df293f4bdf4663c7b","95"
"63c36598e9a4c311d358d02cbcf31cea","143"
"63c36598e9a4c311d358d02cbcf31cea","144"
"6535985f9b71fbf131e835573f0fbd39","89"
"669143f420c3ab4118bcb0bf4b5fd823","73"
"68f14fb38037bd2f1e09fe9f88e7e881","137"
"68f14fb38037bd2f1e09fe9f88e7e881","138"
"68f14fb38037bd2f1e09fe9f88e7e881","139"
"68f14fb38037bd2f1e09fe9f88e7e881","140"
"68f14fb38037bd2f1e09fe9f88e7e881","141"
"68f14fb38037bd2f1e09fe9f88e7e881","142"
"6baefc2a9cf2536834c092a51134a45c","74"
"70fcd47cc0b8782476fce1731eb7eb4c","23"
"71dd196398b3f1da265dbd9dcad00e70","58"
"71dd196398b3f1da265dbd9dcad00e70","59"
"71dd196398b3f1da265dbd9dcad00e70","60"
"71dd196398b3f1da265dbd9dcad00e70","61"
"71dd196398b3f1da265dbd9dcad00e70","62"
"7b5bdc64d7ae74be1932f6764a591da5","63"
"7b5bdc64d7ae74be1932f6764a591da5","64"
"7b5bdc64d7ae74be1932f6764a591da5","65"
"7b5bdc64d7ae74be1932f6764a591da5","66"
"7e7142e3018b9acafef9c3f5172b6f26","161"
"83b0fd2a3b821ad15bc1b45bb3d8ad5b","127"
"83b0fd2a3b821ad15bc1b45bb3d8ad5b","128"
"83b0fd2a3b821ad15bc1b45bb3d8ad5b","129"
"83b0fd2a3b821ad15bc1b45bb3d8ad5b","130"
"83b0fd2a3b821ad15bc1b45bb3d8ad5b","131"
"83b0fd2a3b821ad15bc1b45bb3d8ad5b","132"
"8752fca75c6be992847ea984161bd3f1","53"
"8752fca75c6be992847ea984161bd3f1","54"
"8752fca75c6be992847ea984161bd3f1","55"
"8752fca75c6be992847ea984161bd3f1","56"
"8752fca75c6be992847ea984161bd3f1","57"
"879e2b6c1b8565648ea9f0cdef43ff03","149"
"879e2b6c1b8565648ea9f0cdef43ff03","150"
"8e367e2f9944d93137ae56d788c5d5e1","75"
"91515c100a3692cb94121964974ce513","24"
"91e2443ae2e8caf012f9a6e5a8a455c8","110"
"956093b230d9721bab9e0993ba3fabd8","153"
"956093b230d9721bab9e0993ba3fabd8","154"
"9cd51908ba8b43e761027cad43ffddb3","152"
"a60c3f34eeab5d538dbae5c4d2739d2c","102"
"a6c06e72beb8572ed80dde76f82eb936","151"
"acdbb900b50d8fb4ae21ddfdc609ecf8","31"
"acdbb900b50d8fb4ae21ddfdc609ecf8","32"
"acdbb900b50d8fb4ae21ddfdc609ecf8","33"
"acdbb900b50d8fb4ae21ddfdc609ecf8","34"
"acdbb900b50d8fb4ae21ddfdc609ecf8","35"
"acdbb900b50d8fb4ae21ddfdc609ecf8","36"
"acdbb900b50d8fb4ae21ddfdc609ecf8","37"
"acdbb900b50d8fb4ae21ddfdc609ecf8","38"
"acdbb900b50d8fb4ae21ddfdc609ecf8","39"
"acdbb900b50d8fb4ae21ddfdc609ecf8","40"
"acdbb900b50d8fb4ae21ddfdc609ecf8","41"
"acdbb900b50d8fb4ae21ddfdc609ecf8","42"
"ace7acc1be88f3baee3b75f64fca8a6f","72"
"ae531727467b382d4664a3cd578e4d30","157"
"ae69f581dc429e3484a65f8ecd63baa5","67"
"ae69f581dc429e3484a65f8ecd63baa5","68"
"ae69f581dc429e3484a65f8ecd63baa5","69"
"ae69f581dc429e3484a65f8ecd63baa5","70"
"b370ec9adb44ac88f9a5a42a8fd9d5a4","160"
"b7cd97a164650b538506fb551a0369e7","76"
"bb72618316fdf630cdf15f33ae3d699f","112"
"bb72618316fdf630cdf15f33ae3d699f","113"
"bb72618316fdf630cdf15f33ae3d699f","114"
"c125102497bbb62b31cf5c980aa60235","145"
"ce57a6368d92108c7fe3efd5ab7eacab","133"
"ce57a6368d92108c7fe3efd5ab7eacab","134"
"d0acc14b6054e272353f9b9147abb923","97"
"d4e0b6736697d8578d930ae4ebc77a81","159"
"d6ef6bbb636f55e2bf4b8cb8b2821770","101"
"e4471219900d822ece2a7a7691a395a2","104"
"e6b2c18ac7ad2285edba656c6dfd7145","117"
"e6b2c18ac7ad2285edba656c6dfd7145","118"
"e6b2c18ac7ad2285edba656c6dfd7145","119"
"e6b2c18ac7ad2285edba656c6dfd7145","120"
"e6b2c18ac7ad2285edba656c6dfd7145","121"
"e6b2c18ac7ad2285edba656c6dfd7145","122"
"e6b2c18ac7ad2285edba656c6dfd7145","123"
"e6b2c18ac7ad2285edba656c6dfd7145","124"
"e82fe07001c1e2c3916575c986d6e466","108"
"ed6bdac902e4d3bea99f5bb0d04be5c0","155"
"ed6bdac902e4d3bea99f5bb0d04be5c0","156"
"f6777d43269a3f3b74f28134c5d77ea1","116"
"fa689dadb16f18bea536a62ffdbe639b","136"
"fae559338f65e11c53669fc3642c93c2","111"
